time_idx,power_0,wind_speed_1,power_1,wind_speed_2,power_2,wind_speed_3,power_3,wind_speed_4,power_4,wind_speed_5,power_5,wind_speed_6,power_6,wind_speed_7,power_7,wind_speed_8,power_8,wind_speed_9,power_9,wind_speed_10,power_10,wind_speed_11,power_11,wind_speed_12,power_12,wind_speed_13,power_13,wind_speed_14,power_14,wind_speed_15,power_15,wind_speed_16,power_16,wind_speed_17,power_17,wind_speed_18,power_18,wind_speed_19,power_19,wind_speed_20,power_20,wind_speed_21,power_21,wind_speed_22,power_22,wind_speed_23,power_23,wind_speed_24,power_24,wind_speed_25,power_25,wind_speed_26,power_26,wind_speed_27,power_27,wind_speed_28,power_28,wp_true
0,87.5,4.05064106,161.6000061,4.814743519,283.8999939,4.814743519,202.0,4.719231129,256.6000061,4.719231129,265.2000122,3.095512867,70.70000458,4.146153927,174.0,3.859615564,148.9000092,3.382051468,86.59999847,1.800000072,3.600000143,4.432692528,237.6000061,3.66858983,112.9000015,4.241666794,178.3000031,3.66858983,120.5,4.241666794,174.3000031,3.286538363,95.59999847,0.600000024,-4.099999905,1.600000024,-4.599999905,3.191025734,-6.200000286,5.97330761,514.7000122,5.587461948,390.6000061,5.684000015,432.3000183,5.780487061,426.3999939,6.165923119,615.5,0.900000036,-4.700000286,3.955128193,171.0,5.876923084,569.6000366,3.382051468,144.3000031,8.68
1,82.5,4.241666794,190.6000061,5.490871906,396.3000183,5.007153988,291.3999939,5.780487061,400.1000061,5.394230843,437.0,4.432692528,237.3000031,5.007153988,283.3999939,4.814743519,247.6999969,3.859615564,169.6000061,3.0,49.40000153,4.528204918,273.3000183,4.05064106,183.3000031,4.719231129,227.0,4.528204918,225.0,4.528204918,246.0,2.700000048,149.1000061,2.5,-4.099999905,4.241666794,177.6000061,3.573076963,177.9000092,6.262154102,513.7999878,5.490871906,518.1000366,5.780487061,506.7000122,5.780487061,522.7000122,6.069641113,721.2999878,1.800000072,-3.100000143,3.955128193,178.6000061,4.814743519,268.3999939,4.528204918,297.7000122,5.91
2,152.4000092,4.432692528,273.3999939,5.200795174,428.5,4.528204918,271.8999939,5.684000015,395.7000122,4.910256386,343.2000122,4.146153927,185.6999969,3.955128193,222.8000031,4.432692528,240.6000061,3.477564096,105.3000031,2.900000095,87.70000458,4.528204918,258.8000183,4.146153927,165.3000031,4.814743519,280.0,3.955128193,175.5,4.432692528,270.0,3.573076963,218.6000061,0.800000012,-3.299999952,2.299999952,-6.5,4.146153927,181.9000092,6.165923119,567.7999878,5.97330761,653.7999878,6.069641113,537.1000366,5.684000015,651.1000366,6.165923119,660.5,3.095512867,-3.799999952,2.700000048,25.10000038,3.191025734,103.4000015,2.400000095,14.5,7.56
3,166.3000031,4.814743519,322.3999939,5.684000015,485.6000061,5.394230843,351.6000061,5.587461948,380.6000061,5.104000092,417.5,4.528204918,248.6000061,5.007153988,289.6000061,4.814743519,336.3000183,3.955128193,198.0,2.0,119.9000015,5.007153988,358.5,4.623718262,214.9000092,4.910256386,349.2000122,4.719231129,266.0,5.104000092,380.0,3.859615564,203.8000031,0.800000012,-3.0,3.66858983,-3.200000048,5.007153988,320.0,7.317307472,982.0,6.55053854,744.0,6.646564484,828.9000244,7.125923157,968.2000122,7.221641064,959.2000122,3.66858983,-4.200000286,2.299999952,31.0,3.382051468,94.30000305,2.799999952,23.30000114,8.27
4,364.0,5.876923084,498.2000122,5.684000015,525.7000122,5.780487061,447.5,5.200795174,385.7000122,5.587461948,500.3999939,5.684000015,404.2000122,5.876923084,423.0,5.394230843,415.5,4.719231129,280.8000183,1.899999976,62.29999924,5.780487061,454.6000061,4.814743519,320.1000061,5.684000015,382.1000061,4.814743519,302.7000122,5.394230843,408.2000122,3.573076963,218.4000092,2.0,-3.5,1.700000048,-4.200000286,3.859615564,124.5999985,6.934333324,912.2000122,7.317307472,931.1000366,6.55053854,755.7999878,6.742538452,928.7000122,6.838461399,797.5,2.400000095,-3.299999952,3.955128193,209.5,3.66858983,162.1000061,3.955128193,164.3000031,7.32
5,254.4000092,5.200795174,299.0,5.490871906,438.2000122,5.684000015,406.8999939,5.587461948,429.8999939,4.910256386,403.5,4.814743519,310.3999939,5.200795174,383.3000183,4.910256386,355.3999939,4.241666794,205.6999969,2.299999952,111.7000046,3.955128193,246.4000092,4.623718262,273.3999939,4.910256386,277.8000183,4.146153927,216.0,4.528204918,264.2000122,4.05064106,225.1000061,2.100000143,-5.099999905,1.800000072,-4.400000095,3.66858983,140.3000031,6.069641113,643.4000244,7.030154228,824.7999878,6.934333324,750.2000122,6.262154102,740.6000366,6.934333324,884.5,3.191025734,-4.0,3.0,98.5,1.899999976,-8.900000572,2.5,-11.90000057,3.96
6,274.5,5.200795174,388.3999939,5.876923084,551.7999878,5.876923084,453.6000061,5.490871906,414.1000061,5.007153988,461.8999939,5.200795174,320.8999939,5.200795174,341.2000122,5.104000092,371.5,4.623718262,251.8000031,3.0,40.79999924,3.955128193,205.5,4.814743519,284.8999939,4.528204918,211.9000092,4.432692528,230.3000031,4.814743519,259.8999939,4.814743519,197.4000092,2.299999952,-4.5,1.300000072,-3.200000048,3.573076963,165.0,5.394230843,427.3999939,6.262154102,626.6000366,6.646564484,557.2000122,6.262154102,641.5,6.646564484,679.6000366,1.700000048,-3.799999952,3.382051468,-13.40000057,3.095512867,15.30000019,2.299999952,-6.5,5.92
7,225.4000092,5.007153988,333.2000122,5.297538757,460.3999939,5.490871906,385.3999939,4.910256386,346.1000061,5.007153988,388.3000183,4.719231129,259.0,4.814743519,282.1000061,5.394230843,349.0,4.528204918,237.9000092,2.799999952,116.5,5.104000092,332.0,4.719231129,289.1000061,5.007153988,294.6000061,4.05064106,211.6000061,4.814743519,308.3999939,3.573076963,155.6000061,1.5,-4.099999905,2.100000143,-4.800000191,3.66858983,111.4000015,5.490871906,454.6000061,6.069641113,532.0,6.454461575,526.7000122,5.587461948,561.0,5.684000015,512.4000244,1.899999976,-3.700000048,2.100000143,-3.0,3.764102459,135.8000031,1.600000024,-7.900000095,8.01
8,190.0,4.719231129,232.3000031,5.104000092,315.8999939,5.104000092,275.2000122,4.814743519,229.1999969,4.719231129,262.2000122,4.814743519,217.1000061,4.05064106,171.4000092,4.432692528,235.6000061,3.66858983,134.6999969,1.600000024,7.800000191,3.955128193,124.9000015,3.955128193,156.5,4.241666794,150.4000092,3.66858983,131.6000061,4.241666794,174.1999969,3.286538363,95.80000305,1.100000024,-5.599999905,0.800000012,-4.300000191,2.700000048,-1.700000048,4.814743519,273.8000183,5.587461948,441.8000183,5.684000015,367.6000061,5.394230843,371.5,5.684000015,447.3000183,3.286538363,-3.700000048,2.600000143,-3.100000143,1.899999976,-7.0,2.0,-4.300000191,7.64
9,81.30000305,3.859615564,127.9000015,4.528204918,226.1999969,4.623718262,195.1999969,4.146153927,165.6000061,4.719231129,163.4000092,3.955128193,138.6000061,4.05064106,158.0,3.764102459,128.0,3.095512867,64.40000153,1.700000048,-4.099999905,3.382051468,80.20000458,3.477564096,85.80000305,3.477564096,88.40000153,2.799999952,52.79999924,3.286538363,71.90000153,2.400000095,36.5,1.700000048,-4.200000286,2.100000143,-7.599999905,3.095512867,-4.0,4.814743519,294.7000122,5.200795174,385.8999939,5.490871906,395.3000183,5.104000092,354.0,5.104000092,352.8999939,1.700000048,-4.200000286,1.800000072,-4.800000191,1.700000048,-4.300000191,1.300000072,-4.599999905,9.93
